Book, Chapter, Verse;Hebrew Codex;Length of Verse;Hebrew Verse Text;Total Letters (Cumulative);Difference(s)
(3, 5, 11);Leningrad Codex;104;ואם לא תשיג ידו לשתי תרים או לשני בני יונה והביא את קרבנו אשר חטא עשירת האפה סלת לחטאת לא ישים עליה שמן ולא יתן עליה לבנה כי חטאת היא;104;כתיב יוד במקום כתיב ואו
(3, 5, 11);Koren Codex;104;ואם לא תשיג ידו לשתי תרים או לשני בני יונה והביא את קרבנו אשר חטא עשירת האפה סלת לחטאת לא ישים עליה שמן ולא יתן עליה לבנה כי חטאת הוא;104;כתיב ואו במקום כתיב יוד
(3, 10, 1);Leningrad Codex;84;ויקחו בני אהרן נדב ואביהוא איש מחתתו ויתנו בהן אש וישימו עליה קטרת ויקרבו לפני יהוה אש זרה אשר לא צוה אתם;188;כתיב יוד מלא
(3, 10, 1);Koren Codex;85;ויקחו בני אהרן נדב ואביהוא איש מחתתו ויתנו בהן אש וישימו עליה קטרת ויקריבו לפני יהוה אש זרה אשר לא צוה אתם;189;כתיב יוד חסר
(3, 10, 13);Leningrad Codex;49;ואכלתם אתה במקום קדש כי חקך וחק בניך הוא מאשי יהוה כי כן צויתי;237;כתיב ואו חסר
(3, 10, 13);Koren Codex;50;ואכלתם אתה במקום קדוש כי חקך וחק בניך הוא מאשי יהוה כי כן צויתי;239;כתיב ואו מלא
(3, 11, 4);Leningrad Codex;77;אך את זה לא תאכלו ממעלי הגרה וממפריסי הפרסה את הגמל כי מעלה גרה הוא ופרסה איננו מפריס טמא הוא לכם;314;כתיב יוד מלא
(3, 11, 4);Koren Codex;76;אך את זה לא תאכלו ממעלי הגרה וממפרסי הפרסה את הגמל כי מעלה גרה הוא ופרסה איננו מפריס טמא הוא לכם;315;כתיב יוד חסר
(3, 13, 6);Leningrad Codex;80;וראה הכהן אתו ביום השביעי שנית והנה כהה הנגע ולא פשה הנגע בעור וטהרו הכהן מספחת היא וכבס בגדיו וטהר;394;כתיב יוד במקום כתיב ואו
(3, 13, 6);Koren Codex;80;וראה הכהן אתו ביום השביעי שנית והנה כהה הנגע ולא פשה הנגע בעור וטהרו הכהן מספחת הוא וכבס בגדיו וטהר;395;כתיב ואו במקום כתיב יוד
(3, 14, 10);Leningrad Codex;83;וביום השמיני יקח שני כבשים תמימים וכבשה אחת בת שנתה תמימה ושלשה עשרנים סלת מנחה בלולה בשמן ולג אחד שמן;477;כתיב יוד מלא
(3, 14, 10);Koren Codex;82;וביום השמיני יקח שני כבשים תמימם וכבשה אחת בת שנתה תמימה ושלשה עשרנים סלת מנחה בלולה בשמן ולג אחד שמן;477;כתיב יוד חסר
(3, 16, 8);Leningrad Codex;51;ונתן אהרן על שני השעירם גורלות גורל אחד ליהוה וגורל אחד לעזאזל;528;כתיב ואו מלא
